word_one	easiness_word_one	word_two	easiness_word_two	easiness_both_words	difficulty_category
Mama	2.116438376160664	Papa	2.0173998073222243	2.2617974554646745	1
Mutter	2.1302288650672585	Vater	2.425674219895509	2.257732591680208	1
Frau	2.6314794565436372	Tochter	1.7785848120022238	2.233520227013816	1
Sohn	2.2547621767551873	Tochter	1.7785848120022238	2.1538678774658284	1
Freund	1.8898063417539546	Vater	2.425674219895509	2.1437500098534388	1
Frau	2.6314794565436372	Mutter	2.1302288650672585	2.126643990878438	1
Onkel	1.5497429884482385	Vater	2.425674219895509	2.0843470438320724	1
Mond	1.8107600365793186	Sonne	1.9947071300657808	2.0700372000968428	1
Boot	1.9114934137488706	Schiff	1.835792319230659	2.06276245167928	1
Arm	2.1843859223584743	Mund	2.1593654418678714	2.054635987481837	1
Mutter	2.1302288650672585	Schwester	1.3207625296148826	2.044222219631431	1
Bruder	1.8639523349146698	Mutter	2.1302288650672585	2.04228274671668	1
Eis	1.9526049020307223	Wasser	2.2909917719405413	2.0305823279419033	1
Finger	1.7472148266918732	Hand	2.5122259221816625	2.020683668965499	1
April	1.2767467722367407	Mai	1.6539681958105836	2.020586831575966	1
Bett	2.421794377374063	Sofa	1.4232802741628099	2.018929948601325	1
Haus	2.435418031658437	Wohnung	1.6014603701545642	2.012866792311151	1
Haus	2.435418031658437	Hotel	1.6115811065322663	2.012612665812765	1
Bruder	1.8639523349146698	Freund	1.8898063417539546	1.9854705829250618	1
Familie	1.8948600806280071	Vater	2.425674219895509	1.9646870801986953	1
Haus	2.435418031658437	Hütte	1.2659399487804899	1.9491493735871916	1
Mama	2.116438376160664	Tochter	1.7785848120022238	1.943850975630326	1
Auto	2.351394699147712	Fahrrad	1.1645890112668673	1.9426499696156991	1
Hund	2.294929492178026	Kater	1.092731177084111	1.9421519585588283	1
Erde	2.060702085478576	Mensch	1.8828442000063825	1.9415722815988332	1
Freund	1.8898063417539546	Onkel	1.5497429884482385	1.9415606205683642	1
Bauch	1.7088104853509491	Mund	2.1593654418678714	1.9316117258825252	1
Esel	1.2778316585380916	Mann	2.687675600319548	1.9287050795742302	1
Bruder	1.8639523349146698	Onkel	1.5497429884482385	1.9222974931758992	1
Frau	2.6314794565436372	Person	1.5618643389740081	1.9108027667212506	1
Film	1.9747474332712809	Musik	1.9496189892063132	1.9103320779136246	1
Großvater	0.855070956009218	Sohn	2.2547621767551873	1.9102973646337635	1
Ball	1.9882786124371352	Fuß	2.0441968489192104	1.90847041261542	1
