word	word_length	aoa	OLD20	log10_freq_opensubs	log10_freq_sdewac	concreteness
Ameise	-0.48060993016594605	-1.3563097199637688	-0.48060993016594605	-0.32747139832097333	-0.5585950021479699	1.4341346696818729	
Antilope	0.33221401627257935	0.034333193872129526	0.33221401627257935	-0.9778822219916392	-1.198894412376303	1.3048777953655697	
Dachs	-0.8870219033852087	-0.355046822001922	-0.8870219033852087	-0.22622877019163484	-0.6668412861722073	1.236973262314608	
Fledermaus	1.1450379627111047	-0.2835280435760757	1.1450379627111047	0.07644016560080832	-0.5057783177200168	1.4496216684478813	
Bär	-1.699845849823734	-1.6185452408585381	-1.699845849823734	0.759917610749804	0.22187690830781648	1.9017229016555968	
Biber	-0.8870219033852087	-0.684827855854435	-0.8870219033852087	-0.10320793361255576	-0.36800937081945395	1.3429996384818983	
Biene	-0.8870219033852087	-1.5192136041559738	-0.8870219033852087	0.07477538061189762	-0.2507540066505944	1.8373922913967922	
Käfer	-0.8870219033852087	-1.531133400560282	-0.8870219033852087	0.30432400933869863	0.05773054715206494	1.280455989619171	
Raubkatze	0.738625989491842	-0.362993352938127	0.738625989491842	-1.2724951378732214	-1.2589229362387402	1.1214164253682353	
Bison	-0.8870219033852087	0.37603402412894965	-0.8870219033852087	-0.586702160947089	-1.4350610469736322	1.0106248188114038	
Schwarzbär	1.1450379627111047	-0.005399460808895996	1.1450379627111047	-1.950005354830847	-1.4859205936565505	1.6140221168870506	
Braunbär	0.33221401627257935	-0.6411219357053067	0.33221401627257935	-1.5150048518271122	-1.251863296788295	1.2655646446518547	
Büffel	-0.48060993016594605	0.07406584855315505	-0.48060993016594605	0.054328841224438526	-0.6654913269281174	1.6485700372112242	
Stier	-0.8870219033852087	-0.5934427500880761	-0.8870219033852087	0.1692326521723016	-0.06508160097278246	0.9856073592663129	
Schmetterling	2.364273882368893	-1.43577502932582	2.364273882368893	0.19796002389387649	-0.22834767977498224	1.5306305850700808	
Kamel	-0.8870219033852087	-1.1814860393672557	-0.8870219033852087	-0.15529819559531843	-0.27811717658166296	1.6539309213994577	
Feuerkäfer	1.1450379627111047	0.4952319881720273	1.1450379627111047	-1.547758575897976	-2.583954497804929	nan	
Katze	-0.8870219033852087	-1.7854223905188458	-0.8870219033852087	1.1669602623020747	0.7037628407917117	1.7450659525994323	
Chamäleon	0.738625989491842	0.39192708600136084	0.738625989491842	-0.7056915500308649	-0.9076288837736604	0.9808421288767718	
Gepard	-0.48060993016594605	0.31246177663930874	-0.48060993016594605	-0.7974544590646383	-1.5015190534259744	0.9939465124480101	
Schimpanse	1.1450379627111047	-0.0848647701709473	1.1450379627111047	-0.5480141008615547	-1.0188593941156727	0.9361680939748235	
Kobra	-0.8870219033852087	-0.19611620327781934	-0.8870219033852087	-0.24329993795737254	-1.2180676776429464	1.0344509707591096	
Kuh	-1.699845849823734	-1.8728342308171024	-1.699845849823734	0.9371100734089054	0.3419886932696195	1.6604831131850768	
Kojote	-0.48060993016594605	1.5441740717511052	-0.48060993016594605	-0.43796844045661876	-1.6229323518388656	1.013603087804867	
Krebs	-0.8870219033852087	-0.6808545903863322	-0.8870219033852087	0.9788771876812774	0.7798799682647385	0.35004475606126334	
Krokodil	0.33221401627257935	-1.0066623587707428	0.33221401627257935	-0.06664144206912644	-0.49111435700852335	1.6908614569184017	
Hund	-1.2934338766044715	-2.0317648495412053	-1.2934338766044715	1.7388859410826234	1.2786689963643587	1.2697342212427036	
Delphin	-0.07419795694668337	-0.2437953888950502	-0.07419795694668337	-0.714402632957596	-0.732748632752616	1.403160672149855	
Libelle	-0.07419795694668337	-0.3351804946614089	-0.07419795694668337	-1.086376802885384	-1.0231551181814373	1.4674912824086608	
Dromedar	0.33221401627257935	0.31246177663930874	0.33221401627257935	-1.4994381884033428	-1.4018212182494054	1.5097827021158383	
Regenwurm	0.738625989491842	-1.197379101239666	0.738625989491842	-1.2102906889229297	-0.794973494185161	1.8189270236373198	
Aal	-1.699845849823734	-0.549736829938948	-1.699845849823734	-0.44125385633356495	-0.6784746200814548	0.9879899744610838	
Elefant	-0.07419795694668337	-1.4238552329215126	-0.07419795694668337	0.16142348538995427	-0.17111886056742004	1.8088009090595452	
Elch	-1.2934338766044715	-0.22790232702263957	-1.2934338766044715	-0.1072690422055853	-0.7129601335908042	1.1934905350100453	
Frettchen	0.738625989491842	0.5111250500444374	0.738625989491842	-0.4563262555799358	-1.0020572470718017	1.2566298376714653	
Fisch	-0.8870219033852087	-1.7337699394335127	-0.8870219033852087	1.1826832225103332	0.8411382168671173	1.4234129013054053	
Fuchs	-0.8870219033852087	-1.3523364544956662	-0.8870219033852087	0.5068763542388143	0.5255263023235995	1.0004987042336293	
Frosch	-0.48060993016594605	-1.511267073219769	-0.48060993016594605	0.43840676578233406	-0.07770988468573041	1.8332227148059437	
Kreuzspinne	1.5514499359303673	-0.12459742485197337	1.5514499359303673	-2.8006264986044096	-1.8743150885669773	0.7056500738807712	
Gazelle	-0.07419795694668337	0.10982523776607844	-0.07419795694668337	-0.5278093197415339	-1.0652552981057213	0.6651456155696711	
Giraffe	-0.07419795694668337	-1.3523364544956662	-0.07419795694668337	-0.2805757787580619	-0.803023535734703	1.5812611579589555	
Ziege	-0.8870219033852087	-1.43577502932582	-0.8870219033852087	0.5023806700791462	-0.19115782329241826	1.6098525402962023	
Gans	-1.2934338766044715	-1.5947056480499227	-1.2934338766044715	0.2620491863979523	-0.2133766521296925	1.667035304970696	
Meerschweinchen	3.177097828807418	-0.958983173153512	3.177097828807418	-0.7028230174393867	-0.27486635584558033	1.6860962265288606	
Hamster	-0.07419795694668337	-1.0265286861112557	-0.07419795694668337	-0.1784157469640688	-0.29563839937570885	1.7599572975667481	
Hase	-1.2934338766044715	-1.6622511610076662	-1.2934338766044715	0.3754936828708539	0.1124926150630319	1.4657043210125829	
Igel	-1.2934338766044715	-1.5231868696240765	-1.2934338766044715	-0.4953194137933298	0.05481091881346261	1.4263911702988685	
Nilpferd	0.33221401627257935	-0.2835280435760757	0.33221401627257935	-0.4861719111425073	-1.170536753880054	1.4764260893890502	
Pferd	-0.8870219033852087	-1.6105987099223331	-0.8870219033852087	1.433101901857878	0.975415273722802	1.575304619972029	
Buckelwal	0.738625989491842	0.7495209781305916	0.738625989491842	-1.5650237767311588	-1.7586637552763433	0.9891812820584689	
Steinbock	0.738625989491842	0.39192708600136084	0.738625989491842	-0.8529347176500558	-0.8435026818424183	0.38518833018412935	
Leguan	-0.48060993016594605	0.6303230140875145	-0.48060993016594605	-1.031888194801246	-1.3707698550377383	nan	
Känguru	-0.07419795694668337	-0.4782180515131017	-0.07419795694668337	-0.5141608031676657	-1.0699971514259086	nan	
Marienkäfer	1.5514499359303673	-1.5152403386878717	1.5514499359303673	-0.8009580963655645	-0.8792243093091998	1.7438746450020466	
Leopard	-0.07419795694668337	-0.4821913169812041	-0.07419795694668337	-0.274736336137421	-0.7182066896992392	1.4055432873446259	
Löwe	-1.2934338766044715	-1.3642562508999738	-1.2934338766044715	0.475192100111253	0.1810015087111394	1.2143384179642878	
Eidechse	0.33221401627257935	-0.5696031572794605	0.33221401627257935	-0.406307330675889	-1.111483477090829	1.7033701866909472	
Lama	-1.2934338766044715	-0.0848647701709473	-1.2934338766044715	-0.1967701657331314	0.2021496938258275	0.4733450923906402	
Luchs	-0.8870219033852087	0.11379850323418057	-0.8870219033852087	-0.7292860054447464	-0.672964362601044	1.1589426146858721	
Murmeltier	1.1450379627111047	0.3521944313203353	1.1450379627111047	-0.5008937326256161	-1.1531675372463224	1.105333772803534	
Marder	-0.48060993016594605	-0.16433007953299889	-0.48060993016594605	-1.1859396744652526	-0.6229803412017106	1.1345208089394736	
Milbe	-0.8870219033852087	1.5839067264321307	-0.8870219033852087	-2.365625995600675	-1.2758182096543864	nan	
Maulwurf	0.33221401627257935	-1.1576464465586405	0.33221401627257935	0.226261450414428	-0.4462730610768701	0.9975204352401661	
Affe	-1.2934338766044715	-1.562919524305102	-1.2934338766044715	0.6242176759904409	-0.28438618315049846	1.2131471103669023	
Maus	-1.2934338766044715	-1.6622511610076662	-1.2934338766044715	0.6344163938077887	0.6490050420959411	1.0642336606937415	
Miesmuschel	1.5514499359303673	1.0355960918339762	1.5514499359303673	-1.6843329642099911	-2.0656177571671357	1.625339539062211	
Papagei	-0.07419795694668337	-1.1655929774948457	-0.07419795694668337	0.017536872271222848	-0.5091535728275103	1.4561738602335006	
Pinguin	-0.07419795694668337	-0.9947425623664351	-0.07419795694668337	-0.06739083559412684	-0.6476351220172641	1.3942258651694657	
Schwein	-0.07419795694668337	-1.6225185063266407	-0.07419795694668337	1.3395246942029946	0.24209398330032078	1.3566996758518293	
Hecht	-0.8870219033852087	-0.40272600761915256	-0.8870219033852087	-0.454627718170522	-0.2804955580966835	1.1428599621211708	
Eisbär	-0.48060993016594605	-0.958983173153512	-0.48060993016594605	-0.7939764896666952	-0.7583012962149291	1.0219422409865642	
Iltis	-0.8870219033852087	0.2886221838306938	-0.8870219033852087	-1.1479401434337075	-1.2073198225907629	0.7461545321918706	
Pony	-1.2934338766044715	-1.4715344185387433	-1.2934338766044715	0.22504779649522005	-0.29841648650275887	1.350743137864903	
Ratte	-0.8870219033852087	-0.804025819897512	-0.8870219033852087	0.8500481426974626	-0.227015257443718	1.410308517734167	
Rentier	-0.07419795694668337	-0.045132115489921784	-0.07419795694668337	-0.5439037660984939	-1.113221270708964	1.37039971322176	
Nashorn	-0.07419795694668337	-0.3232606982571015	-0.07419795694668337	-0.5219118439077518	-0.9845057650835322	1.6789483809445487	
