word_one	easiness_one	word_two	easiness_two	relatedness_judgment_easiness
Fluglotse	-9.192636132240295	Unvernunft	-9.013991370797157	-3.3516483306884766
Unvernunft	-9.013991370797157	Öl	9.30641633272171	-3.3521525859832764
Computer	4.922392904758453	Unvernunft	-9.013991370797157	-3.352604866027832
Auster	-0.9616091176867485	Egoismus	-5.623658895492554	-3.352652072906494
Bürste	3.004452884197235	Egoismus	-5.623658895492554	-3.3528523445129395
Besserung	-0.797920286655426	Pelikan	-2.187122419476509	-3.3529176712036133
Einsicht	-2.077363073825836	Tischtennis	-4.098972916603088	-3.3531155586242676
Einsicht	-2.077363073825836	Fuchs	7.5440205335617065	-3.353853464126587
Kimono	-4.956120193004608	Zielsetzung	-9.369734287261963	-3.3541438579559326
Heilung	1.6379310637712479	Kastanie	-0.3792427182197571	-3.355640411376953
Mohn	2.274964153766632	Unvernunft	-9.013991370797157	-3.355698585510254
Pelikan	-2.187122419476509	Schuld	6.865911066532135	-3.3558223247528076
Abbruch	-0.6882448494434357	Schlafanzug	0.05377188324928284	-3.3562252521514893
Einsicht	-2.077363073825836	Ochse	2.3645010888576508	-3.3564741611480713
Egoismus	-5.623658895492554	Geiger	2.3176063001155853	-3.356661558151245
Hypothese	-6.1639101803302765	Pelikan	-2.187122419476509	-3.3572378158569336
Ausdauer	-2.0025584995746613	Schlafanzug	0.05377188324928284	-3.3572916984558105
Herrschaft	-1.3478983044624329	Schlafanzug	0.05377188324928284	-3.3573341369628906
Einsicht	-2.077363073825836	Sushi	-2.2956884801387787	-3.358276128768921
Kollege	3.5857055634260178	Unvernunft	-9.013991370797157	-3.3583455085754395
Arm	13.29814600944519	Eigenart	-6.333202511072159	-3.358943223953247
Einsicht	-2.077363073825836	Klapptisch	-7.618661046028137	-3.3591766357421875
Bedürfnis	-2.3859115839004517	Geologe	-6.2383086532354355	-3.359189748764038
Seilbahn	-2.4180311262607574	Unvernunft	-9.013991370797157	-3.3597230911254883
Toast	5.328128457069397	Unvernunft	-9.013991370797157	-3.3602731227874756
Egoismus	-5.623658895492554	Kessel	3.302515670657158	-3.3610432147979736
Fabrik	5.413099765777588	Unvernunft	-9.013991370797157	-3.3617916107177734
Egoismus	-5.623658895492554	Steinadler	-7.643579125404358	-3.3624179363250732
Lernbereitschaft	-17.48443639278412	Schlafanzug	0.05377188324928284	-3.3625450134277344
Kastanie	-0.3792427182197571	Tonfall	-2.578077509999275	-3.362924575805664
Kastanie	-0.3792427182197571	Skandal	-1.2404396384954453	-3.3630924224853516
Kastanie	-0.3792427182197571	Zusage	-0.3163088858127594	-3.3635404109954834
Begabung	-1.7827166691422462	Huhn	9.202502146363258	-3.3637993335723877
Einsicht	-2.077363073825836	Maschinist	-7.890561461448669	-3.3640334606170654
Blume	7.5204174518585205	Unvernunft	-9.013991370797157	-3.364107370376587
Einsicht	-2.077363073825836	Tischfußball	-11.1200590133667	-3.3641884326934814
Bestatter	-5.271166622638702	Logik	1.5887280404567719	-3.364234209060669
Bedürfnis	-2.3859115839004517	Turm	9.31007993221283	-3.3643906116485596
Beule	3.777129268273711	Einsicht	-2.077363073825836	-3.3645710945129395
Einsicht	-2.077363073825836	Kompass	0.2550547569990158	-3.3649234771728516
Container	-0.17896395176649094	Einsicht	-2.077363073825836	-3.365121364593506
Ballon	5.220190107822418	Logik	1.5887280404567719	-3.3651695251464844
Einsicht	-2.077363073825836	Kapitän	5.875222221016884	-3.3652212619781494
Schlafanzug	0.05377188324928284	Temperament	-5.384283900260925	-3.3654274940490723
Huhn	9.202502146363258	Unterhalt	-3.845620632171631	-3.365476369857788
Offizier	2.181487798690796	Zielsetzung	-9.369734287261963	-3.365617513656616
Porree	-2.571135938167572	Unvernunft	-9.013991370797157	-3.365722179412842
Einsicht	-2.077363073825836	Straßenbahn	-0.9054040312767029	-3.3658242225646973
Hummer	1.2531967759132385	Zielsetzung	-9.369734287261963	-3.3660972118377686
Kissen	7.090225178748369	Ruin	-1.1799917817115784	-3.366295337677002
Logik	1.5887280404567719	Sekt	2.932261474430561	-3.366499662399292
Krise	3.6657715439796448	Pelikan	-2.187122419476509	-3.366975784301758
Einsicht	-2.077363073825836	Klingel	2.651378311216831	-3.367096185684204
Begabung	-1.7827166691422462	Kissen	7.090225178748369	-3.367549419403076
Respekt	3.177924633026123	Schlafanzug	0.05377188324928284	-3.367737054824829
Egoismus	-5.623658895492554	Optiker	-3.660220131278038	-3.3678159713745117
Huhn	9.202502146363258	Konflikt	-0.04273265600204468	-3.367945671081543
Geweih	0.03736335039138794	Logik	1.5887280404567719	-3.3681063652038574
Kissen	7.090225178748369	Versuch	6.049391999840736	-3.368360757827759
Kissen	7.090225178748369	Wunder	5.915046989917755	-3.368464946746826
Höflichkeit	-3.465389519929886	Schlafanzug	0.05377188324928284	-3.3686814308166504
Entspannung	-3.7319842278957367	Huhn	9.202502146363258	-3.368896484375
Egoismus	-5.623658895492554	Schere	6.048483207821846	-3.3690145015716553
Rubin	0.267865926027298	Unvernunft	-9.013991370797157	-3.3693904876708984
Einsicht	-2.077363073825836	Zylinder	-0.9130670130252838	-3.369951009750366
Einsicht	-2.077363073825836	Leder	4.592317312955856	-3.369965076446533
Logik	1.5887280404567719	Sohle	2.4265066385269165	-3.3700597286224365
Sabotage	-4.627465981990099	Schlafanzug	0.05377188324928284	-3.370845317840576
Schaffner	-1.214836835861206	Unvernunft	-9.013991370797157	-3.3710687160491943
Lampe	7.35672453045845	Logik	1.5887280404567719	-3.371312379837036
Blondine	-0.4296887516975403	Unvernunft	-9.013991370797157	-3.371549129486084
Bedürfnis	-2.3859115839004517	Löwe	7.842105984687805	-3.3715779781341553
Journalist	-1.3915113806724548	Unvernunft	-9.013991370797157	-3.3715853691101074
Finger	10.69950383901596	Zielsetzung	-9.369734287261963	-3.371988296508789
Labor	5.8144970536231995	Unvernunft	-9.013991370797157	-3.3725407123565674
Logik	1.5887280404567719	Zopf	4.402807116508484	-3.372816324234009
Auerhahn	-6.984197437763214	Logik	1.5887280404567719	-3.372915506362915
Egoismus	-5.623658895492554	Funker	-2.093953788280487	-3.3730623722076416
Ballon	5.220190107822418	Egoismus	-5.623658895492554	-3.373725652694702
Kissen	7.090225178748369	Profit	-2.3979076743125916	-3.3738577365875244
Bildschirm	0.16277220845222473	Unvernunft	-9.013991370797157	-3.3742430210113525
Campingstuhl	-12.746000051498413	Logik	1.5887280404567719	-3.374378204345703
Pfanne	5.4770903047174215	Unvernunft	-9.013991370797157	-3.374553680419922
Einsicht	-2.077363073825836	Laubsäge	-7.709965467453003	-3.374844789505005
Pelikan	-2.187122419476509	Sorge	7.193839609622955	-3.3749442100524902
Spinne	5.363561600446701	Unvernunft	-9.013991370797157	-3.374951124191284
Kranz	2.8607470989227295	Unvernunft	-9.013991370797157	-3.376220464706421
Dach	11.16375720500946	Logik	1.5887280404567719	-3.3764331340789795
Ehre	5.087443292140961	Kissen	7.090225178748369	-3.3766210079193115
Bedürfnis	-2.3859115839004517	Zeitung	9.326069846749306	-3.3767104148864746
Euter	0.20144951343536377	Unvernunft	-9.013991370797157	-3.376973867416382
Einsicht	-2.077363073825836	Lerche	-1.455068975687027	-3.377115488052368
Einsicht	-2.077363073825836	Fernfahrer	-7.616553723812103	-3.377169609069824
Einsicht	-2.077363073825836	Filz	1.952576756477356	-3.377979278564453
Diskus	-3.795791745185852	Einsicht	-2.077363073825836	-3.378113269805908
Mango	-1.9571622610092163	Zielsetzung	-9.369734287261963	-3.378319025039673
Hahn	8.3355952501297	Logik	1.5887280404567719	-3.3784494400024414
Kastanie	-0.3792427182197571	Rabatt	-2.436050543561578	-3.379318952560425
Roggen	-1.1999516487121582	Unvernunft	-9.013991370797157	-3.380164623260498
Einsicht	-2.077363073825836	Stoffhose	-7.682439565658569	-3.3801698684692383
Einsicht	-2.077363073825836	Stamm	5.816298425197601	-3.3804197311401367
Bleiche	-4.715782210230827	Einsicht	-2.077363073825836	-3.3808023929595947
Kissen	7.090225178748369	Reform	-2.5780394673347473	-3.381025791168213
Logik	1.5887280404567719	Skijacke	-10.796974003314972	-3.381049394607544
Dozent	-3.253120720386505	Einsicht	-2.077363073825836	-3.381476402282715
Kessel	3.302515670657158	Logik	1.5887280404567719	-3.382045269012451
Grund	9.487396001815796	Schlafanzug	0.05377188324928284	-3.3821797370910645
Einsicht	-2.077363073825836	Falke	2.361129179596901	-3.3829710483551025
Ingwer	-3.3140353560447693	Unvernunft	-9.013991370797157	-3.3830718994140625
Bauch	10.471219897270203	Zielsetzung	-9.369734287261963	-3.3835980892181396
Tresor	1.6170097589492798	Tugend	-2.3255178332328796	-3.384657621383667
Bademeister	-4.872534096240997	Egoismus	-5.623658895492554	-3.385080575942993
Egoismus	-5.623658895492554	Knollensellerie	-17.43606173992157	-3.3853416442871094
Neugier	1.4009908586740494	Schlafanzug	0.05377188324928284	-3.3856594562530518
Einsicht	-2.077363073825836	Keller	9.175168573856354	-3.385847330093384
Einsicht	-2.077363073825836	Packung	2.689155988395214	-3.386831283569336
Kastanie	-0.3792427182197571	Romantik	-2.869588315486908	-3.3875744342803955
Grapefruit	-5.983240127563477	Unvernunft	-9.013991370797157	-3.388265371322632
Eigelb	2.2417979389429092	Logik	1.5887280404567719	-3.3882813453674316
Lehrer	9.49943083524704	Unvernunft	-9.013991370797157	-3.3883330821990967
Logik	1.5887280404567719	Murmeltier	-5.197253465652466	-3.389155626296997
Filzstift	-1.236615538597107	Komfort	-3.0297043174505234	-3.3895180225372314
Löwe	7.842105984687805	Zielsetzung	-9.369734287261963	-3.3896234035491943
Baseball	-1.8956536650657654	Einsicht	-2.077363073825836	-3.3896830081939697
Seide	4.169919177889824	Zielsetzung	-9.369734287261963	-3.390242576599121
Kind	16.169021368026733	Logik	1.5887280404567719	-3.3902904987335205
Gejammer	-3.1907747983932495	Pelikan	-2.187122419476509	-3.390968084335327
Egoismus	-5.623658895492554	Pfeife	4.379908010363579	-3.391463279724121
Tuba	-1.6568453907966614	Unvernunft	-9.013991370797157	-3.3921031951904297
Defizit	-4.101083323359489	Pelikan	-2.187122419476509	-3.392212390899658
Einsicht	-2.077363073825836	Sauerampfer	-8.940573006868362	-3.3924524784088135
Einsicht	-2.077363073825836	Gärtner	3.9629909843206406	-3.3932747840881348
Einsicht	-2.077363073825836	Spültisch	-12.768418610095978	-3.3937535285949707
Hypothese	-6.1639101803302765	Kastanie	-0.3792427182197571	-3.3940744400024414
Kastanie	-0.3792427182197571	Mission	1.5082919746637344	-3.3942923545837402
Brombeere	-5.455914378166199	Unvernunft	-9.013991370797157	-3.3945326805114746
Lernbereitschaft	-17.48443639278412	Pelikan	-2.187122419476509	-3.3946797847747803
Einsicht	-2.077363073825836	Pelz	4.240285523235798	-3.3949227333068848
Egoismus	-5.623658895492554	Xylophon	-6.817993223667145	-3.3960185050964355
Reiter	7.03370600938797	Unvernunft	-9.013991370797157	-3.3963217735290527
Kastanie	-0.3792427182197571	Umbruch	-5.206987038254738	-3.3967769145965576
Bedürfnis	-2.3859115839004517	Walze	-2.2887245416641235	-3.396794557571411
Einsicht	-2.077363073825836	Wohnmobil	-2.72056981921196	-3.3969714641571045
Logik	1.5887280404567719	Schwert	7.590619936585426	-3.397028684616089
Bravour	-7.717247769236565	Schlafanzug	0.05377188324928284	-3.397057056427002
Hockey	-0.5553199052810669	Unvernunft	-9.013991370797157	-3.39721941947937
Hai	6.169140696525574	Tugend	-2.3255178332328796	-3.397603750228882
