word_one	easiness_one	word_two	easiness_two	relatedness_judgment_easiness
April	7.902937144041061	Mai	10.145225137472153	0.9713652729988098
April	7.902937144041061	Dezember	4.36546516418457	0.9479750394821167
April	7.902937144041061	Juni	7.9200692772865295	0.9383038282394409
Juni	7.9200692772865295	Mai	10.145225137472153	0.9349642992019653
April	7.902937144041061	August	7.497245699167252	0.9342894554138184
Dezember	4.36546516418457	Mai	10.145225137472153	0.9334992170333862
Donnerstag	4.208684399724007	Montag	8.057703197002411	0.9231024384498596
August	7.497245699167252	Juni	7.9200692772865295	0.919823408126831
August	7.497245699167252	Mai	10.145225137472153	0.9173638820648193
Dezember	4.36546516418457	Juni	7.9200692772865295	0.9027496576309204
August	7.497245699167252	Dezember	4.36546516418457	0.8997485637664795
Hochsprung	-6.513506421819329	Weitsprung	-5.387239396572113	0.8943066000938416
Helikopter	0.19522535800933838	Hubschrauber	1.8275835812091827	0.887160062789917
Mai	10.145225137472153	März	7.6689077615737915	0.8861802816390991
Mai	10.145225137472153	September	4.157424628734589	0.878986120223999
Mama	12.894250690937042	Papa	12.305543422698975	0.8781734108924866
Juni	7.9200692772865295	November	4.863962292671204	0.8768934011459351
November	4.863962292671204	Oktober	7.177296563982964	0.8763737678527832
Dienstag	4.957293719053268	Montag	8.057703197002411	0.8731814622879028
Dezember	4.36546516418457	März	7.6689077615737915	0.8659332394599915
Diskuswerfen	-12.418474227190018	Hammerwerfen	-15.184082478284836	0.860763669013977
Dezember	4.36546516418457	September	4.157424628734589	0.8592463135719299
Chinakohl	-10.511542677879333	Eisbergsalat	-11.61111307144165	0.8544098138809204
Diskuswerfen	-12.418474227190018	Hochsprung	-6.513506421819329	0.848639726638794
Bratsche	-6.66826319694519	Klarinette	-5.40765768289566	0.8481021523475647
Fagott	-5.41861355304718	Oboe	-2.2058537006378174	0.8473413586616516
Hochsprung	-6.513506421819329	Kugelstoßen	-8.975918352603912	0.8436925411224365
Brombeere	-5.455914378166199	Sauerkirsche	-10.947403073310852	0.8417191505432129
Hammerwerfen	-15.184082478284836	Hochsprung	-6.513506421819329	0.8406118154525757
Feldsalat	-6.733536019921303	Sauerampfer	-8.940573006868362	0.8404312133789062
Chinakohl	-10.511542677879333	Kohlrabi	-2.268824517726898	0.8361231684684753
Kugelstoßen	-8.975918352603912	Weitsprung	-5.387239396572113	0.8317199349403381
Sinfonie	-5.189466863870621	Symphonie	-5.230017274618149	0.829119086265564
Sonnabend	-0.8474318906664848	Sonntag	7.566354174166918	0.8276351094245911
Eisbergsalat	-11.61111307144165	Rotkohl	-1.4767873138189316	0.8269166350364685
Gold	10.538247168064117	Silber	5.853810966014862	0.8245794773101807
Feldsalat	-6.733536019921303	Porree	-2.571135938167572	0.8233432769775391
Diskuswerfen	-12.418474227190018	Kugelstoßen	-8.975918352603912	0.8226697444915771
Tischtennis	-4.098972916603088	Volleyball	-3.839230239391327	0.821360170841217
Cello	0.18923449516296387	Klarinette	-5.40765768289566	0.8192328214645386
Hammerwerfen	-15.184082478284836	Weitsprung	-5.387239396572113	0.8172329664230347
Feldsalat	-6.733536019921303	Stangensellerie	-15.68054187297821	0.8054132461547852
Chinakohl	-10.511542677879333	Rotkohl	-1.4767873138189316	0.8048769235610962
Mutter	12.976224422454834	Schwester	8.164576590061188	0.8048598766326904
Porree	-2.571135938167572	Sauerampfer	-8.940573006868362	0.8034191727638245
Tischfußball	-11.1200590133667	Tischtennis	-4.098972916603088	0.8032085299491882
Turmfalke	-11.104737401008606	Uhu	4.6031657457351685	0.8031684756278992
Montag	8.057703197002411	Samstag	6.1379235833883286	0.8014326095581055
Samstag	6.1379235833883286	Sonntag	7.566354174166918	0.7925378084182739
Eisbergsalat	-11.61111307144165	Weißkohl	-3.71089905500412	0.7903329133987427
Eisvogel	-8.04300981760025	Seeadler	-5.4245885014534	0.7897697687149048
Diskuswerfen	-12.418474227190018	Stabhochsprung	-12.045640349388123	0.7883111238479614
Bluse	4.360192805528641	Strickjacke	-4.304367303848267	0.7873181700706482
Sauerampfer	-8.940573006868362	Stangensellerie	-15.68054187297821	0.787231981754303
Bratsche	-6.66826319694519	Cello	0.18923449516296387	0.785040557384491
Spinat	4.148647844791412	Weißkohl	-3.71089905500412	0.7842524647712708
Buchfink	-7.646534502506256	Turmfalke	-11.104737401008606	0.7815597057342529
Eisbergsalat	-11.61111307144165	Kohlrabi	-2.268824517726898	0.7800592184066772
Kontrabass	-6.6796581745147705	Saxophon	-2.2793462574481964	0.7763376832008362
Jeansjacke	-7.9471235275268555	Lederjacke	-3.502156287431717	0.776114821434021
Frühjahr	2.5446514189243317	Herbst	7.244406167417765	0.7756010293960571
Akkordeon	-2.812601402401924	Bratsche	-6.66826319694519	0.7745215892791748
Drahtbürste	-10.377632856369019	Sandpapier	-7.199006915092468	0.7733430862426758
Aprikose	-2.9317451119422913	Pfirsich	0.06516259908676147	0.7724922895431519
Fisch	10.712639451026917	Karpfen	-0.5880028456449509	0.7701213955879211
Querflöte	-6.526692867279053	Trompete	1.1805285513401031	0.769957423210144
Feldsalat	-6.733536019921303	Grünkohl	-3.393790602684021	0.7674837708473206
Fenchel	-4.129273638129234	Sauerampfer	-8.940573006868362	0.763591468334198
Eichelhäher	-9.584286093711853	Mäusebussard	-13.743585705757141	0.7611485719680786
Fahne	5.515886843204498	Flagge	5.124539822340012	0.7602604627609253
Optimist	-5.766017496585846	Pessimist	-6.8267502784729	0.7602077126502991
Künstler	4.524373542517424	Maler	6.396102726459503	0.7594285011291504
Anorak	-0.7033933997154236	Unterhemd	-1.3077584505081177	0.7590048313140869
Klarinette	-5.40765768289566	Xylophon	-6.817993223667145	0.755475640296936
Kohlmeise	-8.763305723667145	Rotkehlchen	-4.087344765663147	0.7540225982666016
Amsel	2.1268686056137085	Kohlmeise	-8.763305723667145	0.7536486387252808
Grünspecht	-9.298441499471664	Mäusebussard	-13.743585705757141	0.7528328895568848
Hammerwerfen	-15.184082478284836	Stabhochsprung	-12.045640349388123	0.7523877620697021
Reiher	-2.301930785179138	Rotkehlchen	-4.087344765663147	0.7509706616401672
Klavier	5.639320805668831	Querflöte	-6.526692867279053	0.7509421110153198
Sellerie	-1.3251632153987885	Weißkohl	-3.71089905500412	0.7501541376113892
Bruder	11.393417537212372	Vater	14.732417285442352	0.7498837113380432
Radieschen	-2.1073708534240723	Rosenkohl	-2.0533708333969116	0.7498784065246582
Bachstelze	-11.667033314704895	Grünfink	-9.349424958229065	0.7495020031929016
Geruch	6.0035533383488655	Gestank	2.6945637315511703	0.7490673661231995
Sohn	13.716478109359741	Tochter	10.885974004864693	0.7486301064491272
Bratsche	-6.66826319694519	Flöte	4.419307231903076	0.7476009726524353
Aprikose	-2.9317451119422913	Nektarine	-9.756418108940125	0.7468298077583313
Nachteil	-1.0697545483708382	Vorteil	3.430843487381935	0.7465361952781677
Cembalo	-5.732653424143791	Violine	-0.7457873374223709	0.7448961138725281
Parfum	0.03696969151496887	Parfüm	1.894564151763916	0.7441433072090149
Beistelltisch	-12.804344415664673	Couchtisch	-5.954847991466522	0.7432469129562378
Kugelstoßen	-8.975918352603912	Speerwerfen	-10.574177384376526	0.7428562045097351
Abend	12.347839444875717	Nachmittag	4.5987943932414055	0.7421447038650513
Feldsalat	-6.733536019921303	Fenchel	-4.129273638129234	0.7419785261154175
Kajak	-2.229385733604431	Kanu	2.1822298765182495	0.7419487237930298
Krokodil	1.9242465645074844	Nashorn	-0.538969561457634	0.7417830228805542
Akkordeon	-2.812601402401924	Cello	0.18923449516296387	0.7416557669639587
April	7.902937144041061	Oktober	7.177296563982964	0.7405486106872559
Hobel	-2.5208069682121277	Schleifstein	-10.071777820587158	0.7392826080322266
Kohlrabi	-2.268824517726898	Rotkohl	-1.4767873138189316	0.7389221787452698
Prinz	8.9366774559021	Prinzessin	4.8695701360702515	0.7387790679931641
Grünkohl	-3.393790602684021	Kartoffelpüree	-5.808355331420898	0.7386161684989929
Grünspecht	-9.298441499471664	Rotkehlchen	-4.087344765663147	0.7366613149642944
Sauerkirsche	-10.947403073310852	Stangensellerie	-15.68054187297821	0.7356482744216919
Drahtbürste	-10.377632856369019	Feile	-1.266104280948639	0.7355506420135498
Mundharmonika	-4.660546183586121	Saxophon	-2.2793462574481964	0.7352113127708435
Knollensellerie	-17.43606173992157	Sellerie	-1.3251632153987885	0.7348926067352295
Fanfare	-5.946215912699699	Trommelwirbel	-8.195465125143528	0.7341359853744507
Haarband	-3.9444499015808105	Stirnband	-4.057372450828552	0.733090877532959
Boot	11.67601227760315	Kanu	2.1822298765182495	0.7327436208724976
Anorak	-0.7033933997154236	Jacke	9.109286427497864	0.7324864864349365
Fahrrad	7.236246481537819	Motorrad	4.12870030105114	0.7313509583473206
Großhandelskaufmann	-24.168558180332184	Hotelfachmann	-18.456681311130524	0.7308946251869202
Beistelltisch	-12.804344415664673	Kommode	0.208251491189003	0.7308379411697388
Schaufel	2.5123517513275146	Spaten	2.3041672110557556	0.7278525829315186
Bohrmaschine	-7.039490640163422	Handbohrer	-9.693392932415009	0.727185845375061
Frau	15.95576936006546	Tochter	10.885974004864693	0.7259040474891663
Jacke	9.109286427497864	Unterhose	2.204397141933441	0.7254309058189392
Küchentisch	-1.0736793279647827	Sofa	8.77396485209465	0.7251681089401245
Haselnuss	-3.547862410545349	Stachelbeere	-8.42262065410614	0.7240180969238281
Kontrabass	-6.6796581745147705	Querflöte	-6.526692867279053	0.7234655618667603
Ganove	-3.6302917897701263	Gauner	1.876230489462614	0.7200190424919128
Glasur	-0.6660740375518799	Spachtel	-5.499671757221222	0.7198893427848816
Brombeere	-5.455914378166199	Sauerampfer	-8.940573006868362	0.7189101576805115
Graugans	-7.83117401599884	Grünspecht	-9.298441499471664	0.7183429002761841
Kartoffelpüree	-5.808355331420898	Knollensellerie	-17.43606173992157	0.7181815505027771
Boot	11.67601227760315	Schiff	11.226028144359589	0.7179832458496094
Joggen	-1.9438756704330444	Radfahren	0.2186535969376564	0.7171682119369507
Haselnuss	-3.547862410545349	Kiwi	-0.7166339159011841	0.716776967048645
Grünspecht	-9.298441499471664	Reiher	-2.301930785179138	0.7167301177978516
Kieferorthopäde	-13.755587577819824	Zahnarzt	4.616562068462372	0.7163790464401245
Kohlrabi	-2.268824517726898	Spinat	4.148647844791412	0.7163738012313843
Flusspferd	-6.437068790197372	Nilpferd	-1.9343631863594055	0.715736985206604
Bratsche	-6.66826319694519	Xylophon	-6.817993223667145	0.7154537439346313
Bohrmaschine	-7.039490640163422	Stemmeisen	-9.785166501998901	0.7145353555679321
Mango	-1.9571622610092163	Papaya	-5.638723075389862	0.7138606309890747
Mäusebussard	-13.743585705757141	Reiher	-2.301930785179138	0.7130967378616333
Samstag	6.1379235833883286	Sonnabend	-0.8474318906664848	0.7129614353179932
Fasan	-0.5989556759595871	Wachtel	-3.0864741057157516	0.7128692269325256
Nachtschrank	-7.919955134391785	Nachttisch	-0.8665100336074829	0.7127776741981506
Mäusebussard	-13.743585705757141	Turmfalke	-11.104737401008606	0.7124026417732239
Anmut	-2.9770253002643585	Eleganz	-3.871859237551689	0.7119929790496826
Honigmelone	-11.872802436351776	Rinderbraten	-7.784742832183838	0.7113839983940125
Kohlrabi	-2.268824517726898	Rosenkohl	-2.0533708333969116	0.7113310694694519
Baseball	-1.8956536650657654	Hockey	-0.5553199052810669	0.7099894881248474
Gewichtheben	-9.254641890525818	Turmspringen	-12.751747727394104	0.7081600427627563
Mäusebussard	-13.743585705757141	Seeadler	-5.4245885014534	0.7080848217010498
Couchtisch	-5.954847991466522	Ohrensessel	-11.375723004341125	0.7079492807388306
Elektriker	-3.036442458629608	Schweißer	-6.937687575817108	0.7077105045318604
Mutter	12.976224422454834	Vater	14.732417285442352	0.7067442536354065
Dienstag	4.957293719053268	Samstag	6.1379235833883286	0.70658940076828
Bratsche	-6.66826319694519	Tuba	-1.6568453907966614	0.7061264514923096
Kiwi	-0.7166339159011841	Papaya	-5.638723075389862	0.7054111957550049
Sakko	-2.425773859024048	Strickjacke	-4.304367303848267	0.7046136260032654
Aprikose	-2.9317451119422913	Hagebutte	-6.42875874042511	0.7041765451431274
Porree	-2.571135938167572	Schalotte	-10.786706268787384	0.7034927010536194
Arzt	12.380365133285522	Patient	6.360078766942024	0.702954888343811
Eisvogel	-8.04300981760025	Grünspecht	-9.298441499471664	0.7029256224632263
Bohrmaschine	-7.039490640163422	Schraubenzieher	-6.511765539646149	0.7024140357971191
Grünkohl	-3.393790602684021	Weißkohl	-3.71089905500412	0.7023964524269104
Klavier	5.639320805668831	Kontrabass	-6.6796581745147705	0.7019338607788086
Haubentaucher	-13.140440583229065	Steinadler	-7.643579125404358	0.70182204246521
Chinakohl	-10.511542677879333	Spinat	4.148647844791412	0.701369047164917
Eisbergsalat	-11.61111307144165	Papaya	-5.638723075389862	0.7009450793266296
Turban	-0.718125969171524	Umhang	2.520576238632202	0.6998746395111084
Kirschtomate	-16.704917430877686	Zitronengras	-11.986481428146362	0.699844241142273
Fischstäbchen	-5.601655960083008	Rosenkohl	-2.0533708333969116	0.6980047821998596
Aubergine	-7.3029255867004395	Rosenkohl	-2.0533708333969116	0.6979590654373169
Keyboard	-4.134820818901062	Schlagzeug	-0.9340831749141216	0.6979503035545349
Sauerkirsche	-10.947403073310852	Sternfrucht	-17.174691796302795	0.6972562670707703
Blaumeise	-8.256558388471603	Buntspecht	-6.478494644165039	0.6968863010406494
Aprikose	-2.9317451119422913	Rettich	-3.2670330852270126	0.6968750357627869
Latzhose	-4.050561487674713	Strumpfhose	-4.26172810792923	0.6967194080352783
Amsel	2.1268686056137085	Grünspecht	-9.298441499471664	0.6965970396995544
Speerwerfen	-10.574177384376526	Springreiten	-11.70389175415039	0.6965317726135254
Bratsche	-6.66826319694519	Cembalo	-5.732653424143791	0.6961327195167542
Gulasch	-0.7898099273443222	Rinderbraten	-7.784742832183838	0.6950567960739136
Spargel	0.7573839277029037	Weißkohl	-3.71089905500412	0.6944955587387085
Tischfußball	-11.1200590133667	Volleyball	-3.839230239391327	0.6943909525871277
Boot	11.67601227760315	Floß	3.8602907806634903	0.6943386793136597
Anorak	-0.7033933997154236	Stirnband	-4.057372450828552	0.6942989826202393
Auto	14.290883302688599	Motorrad	4.12870030105114	0.6941508054733276
Rotkehlchen	-4.087344765663147	Seeadler	-5.4245885014534	0.6937386989593506
Kuh	11.364040613174438	Ziege	6.8778921365737915	0.6935104727745056
Feldsalat	-6.733536019921303	Grapefruit	-5.983240127563477	0.6934924125671387
Akkordeon	-2.812601402401924	Tuba	-1.6568453907966614	0.6934762597084045
Kartoffelpüree	-5.808355331420898	Kotelett	-2.745862662792206	0.6931040287017822
Rinderbraten	-7.784742832183838	Sauerampfer	-8.940573006868362	0.6928139925003052
Sommer	9.477057754993439	Winter	8.028970569372177	0.692626953125
Erdbeere	1.286303997039795	Wassermelone	-5.870190471410751	0.6925671696662903
Schal	5.691660284996033	Umhang	2.520576238632202	0.691808819770813
Graugans	-7.83117401599884	Mäusebussard	-13.743585705757141	0.6907444000244141
Tablett	1.987193816807121	Teller	7.891490161418915	0.690495491027832
